,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2023-10-01,1696132800,27.0,16.1,20.8,27.1,16.1,20.8,14.0,67.4,0.0,0.0,0.0,,0.0,0.0,29.5,12.8,358.2,1021.7,1.1,16.0,206.2,17.8,8.0,10.0,06:52:19,1696157539,18:38:34,1696199914,0.57,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
1,2023-10-02,1696219200,26.6,18.8,21.6,26.6,18.8,21.6,14.9,66.7,0.0,0.0,0.0,,0.0,0.0,64.8,12.8,18.9,1022.1,12.2,16.0,211.0,18.2,8.0,10.0,06:53:20,1696244000,18:36:54,1696286214,0.61,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
2,2023-10-03,1696305600,27.8,17.1,21.5,28.1,17.1,21.6,15.3,68.5,0.0,0.0,0.0,,0.0,0.0,81.4,10.8,275.8,1021.7,0.3,15.3,206.2,17.8,7.0,10.0,06:54:21,1696330461,18:35:15,1696372515,0.64,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
3,2023-10-04,1696392000,28.2,18.9,22.3,28.7,18.9,22.4,16.9,72.4,0.0,0.0,0.0,,0.0,0.0,65.5,14.3,222.5,1022.3,0.4,15.0,204.3,17.7,7.0,10.0,06:55:22,1696416922,18:33:37,1696458817,0.67,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
4,2023-10-05,1696478400,24.4,17.2,20.7,24.4,17.2,20.7,15.6,73.5,0.0,0.0,0.0,,0.0,0.0,68.4,16.2,152.2,1023.3,4.0,15.8,201.0,17.3,7.0,10.0,06:56:24,1696503384,18:31:58,1696545118,0.7,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
5,2023-10-06,1696564800,22.1,19.1,20.6,22.1,19.1,20.6,19.1,91.4,0.204,100.0,16.67,['rain'],0.0,0.0,29.5,14.5,72.1,1016.8,100.0,10.7,41.4,3.6,3.0,10.0,06:57:26,1696589846,18:30:21,1696631421,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
6,2023-10-07,1696651200,20.7,13.3,18.2,20.7,13.3,18.2,15.5,84.9,0.508,100.0,41.67,['rain'],0.0,0.0,49.1,16.1,30.9,1006.6,91.2,13.6,56.9,5.0,3.0,10.0,06:58:28,1696676308,18:28:43,1696717723,0.77,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
7,2023-10-08,1696737600,16.6,11.1,13.8,16.6,11.1,13.8,6.9,63.9,0.0,0.0,0.0,,0.0,0.0,38.9,28.5,265.2,1005.0,33.6,16.0,135.8,11.6,8.0,10.0,06:59:31,1696762771,18:27:07,1696804027,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
8,2023-10-09,1696824000,17.1,10.6,13.7,17.1,10.6,13.7,5.3,57.6,0.0,0.0,0.0,,0.0,0.0,53.7,22.3,259.1,1008.8,35.5,16.0,160.4,13.8,9.0,10.0,07:00:34,1696849234,18:25:31,1696890331,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
9,2023-10-10,1696910400,18.3,12.8,15.1,18.3,12.8,15.1,9.0,67.4,0.028,100.0,4.17,['rain'],0.0,0.0,38.9,19.8,250.0,1010.1,62.7,15.6,147.8,12.7,7.0,10.0,07:01:37,1696935697,18:23:55,1696976635,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F8726', 'F1417', 'KNYC', '72503014732']",obs
10,2023-10-11,1696996800,22.7,14.3,17.5,22.7,14.3,17.5,9.8,62.9,0.0,0.0,0.0,,0.0,0.0,87.8,19.4,248.7,1011.4,30.0,15.7,192.0,16.6,7.0,10.0,07:02:40,1697022160,18:22:20,1697062940,0.9,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F8726', 'KNYC', 'F1417', '72503014732']",obs
11,2023-10-12,1697083200,23.0,13.8,17.8,23.0,13.8,17.8,10.5,65.0,0.0,0.0,0.0,,0.0,0.0,77.8,12.5,251.9,1012.2,9.4,16.0,153.5,13.1,7.0,10.0,07:03:44,1697108624,18:20:46,1697149246,0.93,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
12,2023-10-13,1697169600,19.8,12.7,16.0,19.8,12.7,16.0,7.1,56.5,0.0,0.0,0.0,,0.0,0.0,68.4,17.8,328.0,1014.7,1.8,15.9,193.6,16.6,7.0,10.0,07:04:48,1697195088,18:19:12,1697235552,0.96,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
13,2023-10-14,1697256000,14.9,11.1,12.9,14.9,11.1,12.9,8.5,76.3,1.139,100.0,45.83,['rain'],0.0,0.0,31.3,20.1,40.6,1009.6,89.6,13.3,12.4,1.1,0.0,10.0,07:05:53,1697281553,18:17:40,1697321860,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
14,2023-10-15,1697342400,17.7,11.1,13.7,17.7,11.1,13.7,7.1,66.0,0.03,100.0,8.33,['rain'],0.0,0.0,42.5,14.6,347.3,1000.4,77.1,16.0,154.9,13.5,9.0,10.0,07:06:57,1697368017,18:16:08,1697408168,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
15,2023-10-16,1697428800,19.8,9.3,14.1,19.8,7.7,13.9,7.6,66.0,0.0,0.0,0.0,,0.0,0.0,55.4,14.7,291.0,1003.8,36.7,16.0,116.7,10.0,8.0,10.0,07:08:02,1697454482,18:14:36,1697494476,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
16,2023-10-17,1697515200,18.2,11.7,14.8,18.2,11.7,14.8,8.2,65.5,0.0,0.0,0.0,,0.0,0.0,63.0,11.2,341.4,1012.9,40.1,16.0,91.3,8.0,6.0,10.0,07:09:08,1697540948,18:13:06,1697580786,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
17,2023-10-18,1697601600,17.7,13.8,15.6,17.7,13.8,15.6,9.9,69.5,0.0,0.0,0.0,,0.0,0.0,66.6,10.9,148.6,1020.5,87.2,15.6,76.8,6.8,4.0,10.0,07:10:14,1697627414,18:11:36,1697667096,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
18,2023-10-19,1697688000,19.3,11.7,15.2,19.3,11.7,15.2,9.7,70.8,0.0,0.0,0.0,,0.0,0.0,68.4,16.2,221.0,1020.2,13.3,16.0,146.2,12.6,7.0,10.0,07:11:20,1697713880,18:10:08,1697753408,0.17,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
19,2023-10-20,1697774400,17.8,15.6,16.6,17.8,15.6,16.6,14.7,88.5,0.99,100.0,66.67,['rain'],0.0,0.0,55.4,16.3,147.0,1007.4,92.4,14.6,26.8,2.3,2.0,10.0,07:12:26,1697800346,18:08:40,1697839720,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
20,2023-10-21,1697860800,19.2,14.4,16.1,19.2,14.4,16.1,11.9,77.7,0.614,100.0,37.5,['rain'],0.0,0.0,48.1,26.8,292.0,993.6,79.3,15.1,51.7,4.6,3.0,10.0,07:13:33,1697886813,18:07:13,1697926033,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
21,2023-10-22,1697947200,16.5,10.0,13.2,16.5,8.9,13.2,4.8,57.2,0.0,0.0,0.0,,0.0,0.0,78.5,25.3,278.0,1004.2,75.4,16.0,119.2,10.2,9.0,10.0,07:14:40,1697973280,18:05:48,1698012348,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
22,2023-10-23,1698033600,18.6,9.3,13.1,18.6,8.2,12.9,4.5,56.5,0.0,0.0,0.0,,0.0,0.0,60.9,14.4,310.9,1019.7,6.8,16.0,166.8,14.4,7.0,10.0,07:15:47,1698059747,18:04:23,1698098663,0.32,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
23,2023-10-24,1698120000,19.3,11.0,14.8,19.3,11.0,14.8,7.9,64.5,0.0,0.0,0.0,,0.0,0.0,61.2,14.4,200.0,1027.7,0.8,15.7,136.1,11.8,6.0,10.0,07:16:55,1698146215,18:03:00,1698184980,0.35,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
24,2023-10-25,1698206400,23.7,11.7,17.0,23.7,11.7,17.0,9.0,60.8,0.0,0.0,0.0,,0.0,0.0,77.8,16.3,249.1,1025.8,1.0,16.0,156.9,13.7,6.0,10.0,07:18:03,1698232683,18:01:37,1698271297,0.39,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
25,2023-10-26,1698292800,26.6,15.0,20.0,26.6,15.0,20.0,10.6,55.8,0.0,0.0,0.0,,0.0,0.0,79.6,14.5,269.3,1023.2,1.1,15.9,164.5,14.3,6.0,10.0,07:19:11,1698319151,18:00:16,1698357616,0.42,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
26,2023-10-27,1698379200,24.3,16.2,19.4,24.3,16.2,19.4,12.4,64.7,0.0,0.0,0.0,,0.0,0.0,72.0,17.8,271.8,1019.6,2.4,16.0,73.6,6.5,3.0,10.0,07:20:20,1698405620,17:58:56,1698443936,0.46,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
27,2023-10-28,1698465600,27.8,17.9,21.8,28.1,17.9,21.8,14.5,64.5,0.0,0.0,0.0,,0.0,0.0,31.7,14.5,254.3,1016.5,28.2,15.8,159.7,13.7,6.0,10.0,07:21:29,1698492089,17:57:37,1698530257,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
28,2023-10-29,1698552000,18.9,12.1,13.9,18.9,12.1,13.9,9.8,77.4,0.726,100.0,58.33,['rain'],0.0,0.0,63.0,31.0,39.1,1018.9,93.8,14.9,15.3,1.2,1.0,10.0,07:22:38,1698578558,17:56:19,1698616579,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
29,2023-10-30,1698638400,16.1,11.1,13.7,16.1,11.1,13.7,11.1,85.0,0.672,100.0,25.0,['rain'],0.0,0.0,52.7,15.8,1.7,1010.5,97.9,13.6,41.5,3.7,3.0,10.0,07:23:47,1698665027,17:55:03,1698702903,0.56,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
30,2023-10-31,1698724800,12.7,9.2,10.8,12.7,7.9,10.5,2.9,58.7,0.0,0.0,0.0,,0.0,0.0,64.8,22.1,43.7,1017.9,66.3,16.0,110.4,9.5,6.0,10.0,07:24:57,1698751497,17:53:48,1698789228,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
31,2023-11-01,1698811200,12.6,6.1,9.2,12.6,5.0,8.1,1.0,57.8,0.014,100.0,8.33,['rain'],0.0,0.0,46.4,16.4,345.0,1018.0,68.4,15.9,67.9,6.0,3.0,10.0,07:26:07,1698837967,17:52:35,1698875555,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
32,2023-11-02,1698897600,11.5,3.8,7.3,11.5,1.0,5.8,-1.5,55.1,0.0,0.0,0.0,,0.0,0.0,70.2,19.9,246.5,1031.1,1.4,15.8,154.5,13.2,6.0,10.0,07:27:17,1698924437,17:51:22,1698961882,0.65,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
33,2023-11-03,1698984000,14.9,6.1,10.0,14.9,4.2,9.0,2.0,58.4,0.0,0.0,0.0,,0.0,0.0,72.0,18.2,226.6,1031.2,0.6,16.0,148.6,12.7,6.0,10.0,07:28:28,1699010908,17:50:12,1699048212,0.69,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
34,2023-11-04,1699070400,15.7,8.9,11.8,15.7,7.1,11.2,4.7,62.2,0.0,0.0,0.0,,0.0,0.0,59.0,15.9,252.7,1023.6,1.5,15.9,89.1,7.7,4.0,10.0,07:29:38,1699097378,17:49:03,1699134543,0.72,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
35,2023-11-05,1699156800,19.2,11.1,13.9,19.2,11.1,13.9,5.6,58.4,0.0,0.0,0.0,,0.0,0.0,51.8,10.8,271.9,1017.7,32.9,15.9,100.8,9.2,5.0,10.0,06:30:49,1699183849,16:47:55,1699220875,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
36,2023-11-06,1699246800,13.3,8.8,11.4,13.3,6.1,10.9,4.8,64.3,0.0,0.0,0.0,,0.0,0.0,27.7,20.1,57.1,1019.9,6.3,15.8,107.2,9.2,6.0,10.0,06:32:00,1699270320,16:46:49,1699307209,0.78,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
37,2023-11-07,1699333200,18.3,12.8,14.9,18.3,12.8,14.9,9.6,71.5,0.093,100.0,12.5,['rain'],0.0,0.0,73.8,17.8,266.3,1009.7,35.6,15.9,55.2,4.7,2.0,10.0,06:33:11,1699356791,16:45:44,1699393544,0.82,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
38,2023-11-08,1699419600,12.8,7.8,10.2,12.8,5.8,9.4,-0.6,48.0,0.0,0.0,0.0,,0.0,0.0,72.0,17.9,351.5,1017.8,8.3,15.9,140.6,12.3,6.0,10.0,06:34:22,1699443262,16:44:41,1699479881,0.85,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
39,2023-11-09,1699506000,15.5,7.8,12.0,15.5,5.0,11.4,5.8,66.0,0.0,0.0,0.0,,0.0,0.0,29.5,16.3,58.5,1013.3,63.2,15.9,49.7,4.4,2.0,10.0,06:35:33,1699529733,16:43:40,1699566220,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
40,2023-11-10,1699592400,12.1,7.9,10.9,12.1,5.6,10.4,2.9,58.9,0.0,0.0,0.0,,0.0,0.0,56.6,20.1,263.8,1019.6,39.1,16.0,24.8,2.2,1.0,10.0,06:36:44,1699616204,16:42:41,1699652561,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
41,2023-11-11,1699678800,14.8,7.2,9.8,14.8,4.4,9.0,1.7,59.2,0.0,0.0,0.0,,0.0,0.0,73.8,16.1,303.3,1026.7,11.6,15.9,118.4,10.2,6.0,10.0,06:37:56,1699702676,16:41:43,1699738903,0.95,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
42,2023-11-12,1699765200,9.8,4.3,7.0,9.4,0.1,4.9,-1.0,57.3,0.0,0.0,0.0,,0.0,0.0,55.4,20.2,48.2,1031.9,6.8,15.9,106.5,9.3,6.0,10.0,06:39:07,1699789147,16:40:47,1699825247,0.98,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
43,2023-11-13,1699851600,11.0,4.2,7.5,11.0,1.6,6.0,-0.5,57.5,0.0,0.0,0.0,,0.0,0.0,59.0,17.8,219.4,1026.4,29.8,16.0,124.0,10.7,6.0,10.0,06:40:18,1699875618,16:39:52,1699911592,0.0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
44,2023-11-14,1699938000,14.2,6.2,9.7,14.2,3.9,8.8,0.9,55.7,0.0,0.0,0.0,,0.0,0.0,55.4,13.3,289.6,1025.3,14.2,16.0,135.4,11.7,6.0,10.0,06:41:29,1699962089,16:39:00,1699997940,0.05,Clear,Clear conditions throughout the day.,clear-day,"['72505394728', '72055399999', 'KLGA', 'KJRB', 'F1417', 'KNYC', '72503014732']",obs
